#Bola branca, 7 actions - random iluminacao e campo, voltando para o gol - com 9 campos, 500 mil de memoria, fisheye random, input 84x84, exponencial e-greedy
167 410 -0.66256097561 -9.43 0.88 1670000 287 409 0 193002
168 393 -0.803002544529 -13.27 0.88 1680000 250 393 0 191747
169 378 -0.829788359788 -9.58 0.85 1690000 254 378 0 190508
170 393 -0.789465648855 -23.44 0.88 1700000 259 391 0 189287
171 386 -0.825984455959 -16.66 0.88 1710000 251 385 0 188081
172 393 -0.857455470738 -33.13 0.88 1720000 247 388 1 186892
173 366 -0.963743169399 -17.22 0.88 1730000 221 364 0 185719
174 341 -1.07434017595 -38.41 0.88 1740000 231 338 1 184562
175 352 -0.965255681818 -31.95 0.88 1750000 240 350 1 183420
176 358 -0.952793296089 -17.43 0.88 1760000 247 355 0 182294
177 379 -0.914934036939 -14.62 0.88 1770000 229 375 0 181183
178 392 -0.726632653061 -34.66 0.88 1780000 281 390 1 180087
179 358 -0.99405027933 -30.66 0.88 1790000 228 356 1 179006
180 380 -0.776842105263 -31.2 0.91 1800000 274 377 1 177940
181 405 -0.823703703704 -13.06 0.85 1810000 242 404 0 176888
182 392 -0.752474489796 -35.79 0.91 1820000 275 390 1 175850
183 419 -0.721575178998 -16.95 0.91 1830000 267 419 0 174826
184 361 -1.01185595568 -39.09 0.88 1840000 243 355 4 173816
185 374 -0.869438502674 -33.96 0.88 1850000 251 371 1 172819
186 405 -0.66812345679 -9.74 0.88 1860000 285 404 0 171836
187 385 -0.787818181818 -17.98 0.88 1870000 268 383 0 170866
188 422 -0.614454976303 -7.28 0.88 1880000 289 420 0 169910
189 432 -0.586828703704 -9.72 0.88 1890000 285 432 0 168966
190 380 -0.902684210526 -37.78 0.88 1900000 247 377 3 168035
191 422 -0.675924170616 -11.03 0.88 1910000 271 420 0 167116
192 394 -0.721878172589 -34.12 0.88 1920000 275 393 1 166210
193 425 -0.645552941176 -36.34 0.88 1930000 294 422 1 165317
194 370 -0.858648648649 -34.19 0.91 1940000 257 366 2 164435
195 378 -0.78373015873 -20.53 0.88 1950000 263 376 0 163565
196 448 -0.517611607143 -4.43 0.88 1960000 311 447 0 162707
197 461 -0.425097613883 -12.45 0.88 1970000 344 460 0 161860
198 388 -0.741391752577 -37.97 0.88 1980000 289 386 2 161025
199 439 -0.518041002278 -31.82 0.91 1990000 324 437 1 160202
200 440 -0.497909090909 -27.58 0.88 2000000 321 440 0 159389
201 460 -0.469304347826 -9.39 0.91 2010000 326 458 0 158587
202 450 -0.535711111111 -37.61 0.88 2020000 305 448 1 157796
203 402 -0.680746268657 -17.86 0.88 2030000 290 402 0 157016
204 425 -0.583341176471 -9.01 0.91 2040000 297 425 0 156246
205 398 -0.689974874372 -24.24 0.85 2050000 286 396 0 155487
206 426 -0.561267605634 -14.21 0.88 2060000 304 423 0 154738
207 423 -0.488439716312 -9.19 0.88 2070000 312 422 0 153999
208 438 -0.54401826484 -28.19 0.88 2080000 320 436 1 153270
209 455 -0.452967032967 -6.69 0.88 2090000 331 454 0 152551
210 401 -0.690598503741 -38.08 0.88 2100000 285 400 1 151841
211 406 -0.67657635468 -18.79 0.85 2110000 289 405 0 151142
212 437 -0.517070938215 -10.1 0.88 2120000 315 435 0 150451
213 444 -0.484707207207 -13.82 0.88 2130000 320 443 0 149770
214 418 -0.646602870813 -16.17 0.88 2140000 284 417 0 149098
215 433 -0.617344110855 -6.34 0.88 2150000 280 432 0 148435
216 469 -0.407292110874 -9.05 0.91 2160000 340 469 0 147782
217 440 -0.444068181818 -16.96 0.88 2170000 343 440 0 147137
218 418 -0.656937799043 -35.42 0.88 2180000 292 412 2 146500
219 419 -0.644844868735 -36.65 0.88 2190000 282 417 2 145873
220 413 -0.619927360775 -35.59 0.88 2200000 308 411 1 145253
221 458 -0.470109170306 -8.08 0.88 2210000 319 457 0 144642
222 484 -0.325351239669 -7.59 0.88 2220000 365 483 0 144040
223 476 -0.422857142857 -31.64 0.91 2230000 332 475 1 143445
224 458 -0.40692139738 -12.36 0.88 2240000 347 458 0 142859
225 430 -0.558744186047 -31.64 0.88 2250000 312 429 1 142280
226 475 -0.376778947368 -34.97 0.88 2260000 355 474 1 141709
227 451 -0.43711751663 -7.56 0.88 2270000 337 451 0 141146
228 477 -0.399811320755 -11.26 0.88 2280000 344 475 0 140591
229 421 -0.570902612827 -6.67 0.88 2290000 309 421 0 140043
230 424 -0.557688679245 -8.86 0.88 2300000 311 424 0 139502
231 431 -0.503549883991 -10.07 0.88 2310000 318 430 0 138969
232 426 -0.561009389671 -12.12 0.91 2320000 312 424 0 138443
233 437 -0.513821510297 -13.22 0.88 2330000 320 437 0 137924
234 441 -0.491405895692 -6.05 0.88 2340000 322 441 0 137412
235 421 -0.551638954869 -11.07 0.91 2350000 315 422 0 136907
236 437 -0.52700228833 -5.25 0.88 2360000 306 437 0 136409
237 413 -0.586537530266 -37.73 0.85 2370000 311 412 1 135917
238 448 -0.439352678571 -5.38 0.88 2380000 342 447 0 135432
239 416 -0.593100961538 -13.1 0.88 2390000 301 416 0 134954
240 457 -0.452297592998 -38.04 0.88 2400000 339 454 1 134482
241 465 -0.405139784946 -9.18 0.88 2410000 344 464 0 134017
242 458 -0.430043668122 -7.46 0.88 2420000 329 458 0 133557
243 470 -0.36870212766 -10.16 0.88 2430000 346 469 0 133104
244 470 -0.408063829787 -6.92 0.88 2440000 334 468 0 132658
245 463 -0.442462203024 -8.52 0.91 2450000 333 462 0 132217
246 403 -0.708858560794 -37.72 0.88 2460000 293 400 2 131782
247 443 -0.454221218962 -37.36 0.88 2470000 346 441 1 131353
248 436 -0.534678899083 -35.84 0.88 2480000 309 434 1 130930
249 429 -0.561655011655 -35.35 0.88 2490000 309 428 1 130512
250 422 -0.552796208531 -15.78 0.91 2500000 311 423 0 130100
251 439 -0.470455580866 -6.58 0.88 2510000 331 438 0 129694
